student_id,amount,status,payment_method,paid_at,program_name,package_type,package_duration,receipt_seq,notes
ADV23013,180.00,paid,,2023-07-07,Lego EV3 Robotics,,,,old ticket TK-230707-001
ADV23022,75.00,paid,,2023-07-09,Scratch,,,,old ticket TK-230709-001
ADV23025,120.00,paid,,2023-07-10,Scratch,,,,old ticket TK-230710-001
ADV23026,120.00,paid,,2023-07-10,Scratch,,,,old ticket TK-230710-002
ADV23027,120.00,paid,,2023-07-10,Scratch,,,,old ticket TK-230710-003
ADV23028,120.00,paid,,2023-07-10,Scratch,,,,old ticket TK-230710-004
ADV23024,120.00,paid,,2023-07-10,Scratch,,,,old ticket TK-230710-005
ADV23052,172.60,paid,,2023-07-21,Scratch,,,,old ticket TK-230721-001
ADV23007,160.00,paid,,2023-07-22,Lego EV3 Robotics,,,,old ticket TK-230722-001
ADV23033,900.00,paid,,2023-07-23,Scratch,,,,old ticket TK-230723-001
ADV23016,256.00,paid,,2023-07-24,Lego EV3 Robotics,,,,old ticket TK-230724-001
ADV23017,256.00,paid,,2023-07-24,Lego EV3 Robotics,,,,old ticket TK-230724-002
ADV23036,120.00,paid,,2023-07-25,Scratch,,,,old ticket TK-230725-001
ADV23018,180.00,paid,,2023-07-28,Lego EV3 Robotics,,,,old ticket TK-230728-001
ADV23006,324.00,paid,,2023-07-29,Lego EV3 Robotics,,,,old ticket TK-230729-001
ADV23005,324.00,paid,,2023-07-29,Lego EV3 Robotics,,,,old ticket TK-230729-002
ADV23004,324.00,paid,,2023-07-29,Lego EV3 Robotics,,,,old ticket TK-230729-003
ADV0045,150.00,paid,,2023-08-02,Lego EV3 Robotics,,,,old ticket TK-230802-001
ADV23034,120.00,paid,,2023-08-02,Scratch,,,,old ticket TK-230802-002
ADV23022,90.00,paid,,2023-08-02,Scratch,,,,old ticket TK-230802-003
ADV23030,90.00,paid,,2023-08-02,Scratch,,,,old ticket TK-230802-004
ADV23021,900.00,paid,,2023-08-03,Lego EV3 Robotics,,,,old ticket TK-230803-001
ADV23035,120.00,paid,,2023-08-03,Scratch,,,,old ticket TK-230803-002
ADV23037,697.40,paid,,2023-08-03,Scratch,,,,old ticket TK-230803-003
ADV23031,86.30,paid,,2023-08-03,Scratch,,,,old ticket TK-230803-004
ADV23031,464.60,paid,,2023-08-03,Scratch,,,,old ticket TK-230803-005
ADV23011,180.00,paid,,2023-08-04,Lego EV3 Robotics,,,,old ticket TK-230804-001
ADV23001,180.00,paid,,2023-08-05,Lego EV3 Robotics,,,,old ticket TK-230805-001
ADV23029,240.00,paid,,2023-08-05,Scratch,,,,old ticket TK-230805-002
ADV23025,240.00,paid,,2023-08-06,Scratch,,,,old ticket TK-230806-001
ADV23026,240.00,paid,,2023-08-06,Scratch,,,,old ticket TK-230806-002
ADV0014,180.00,paid,cash,2023-08-06,Lego EV3 Robotics,,,,old ticket TK-230806-003 | Cash
ADV23008,180.00,paid,,2023-08-07,Lego EV3 Robotics,,,,old ticket TK-230807-001
ADV23028,120.00,paid,,2023-08-09,Scratch,,,,old ticket TK-230809-001
ADV23027,120.00,paid,,2023-08-09,Scratch,,,,old ticket TK-230809-002
ADV23007,160.00,paid,,2023-08-12,Lego EV3 Robotics,,,,old ticket TK-230812-001
ADV23039,180.00,paid,,2023-08-12,Lego EV3 Robotics,,,,old ticket TK-230812-002
ADV23023,240.00,paid,,2023-08-13,Scratch,,,,old ticket TK-230813-001
ADV23024,240.00,paid,,2023-08-14,Scratch,,,,old ticket TK-230814-001
ADV23025,120.00,paid,,2023-08-17,Scratch,,,,old ticket TK-230817-002
ADV23026,120.00,paid,,2023-08-17,Scratch,,,,old ticket TK-230817-003
ADV23040,90.00,paid,,2023-08-20,Scratch,,,,old ticket TK-230820-001
ADV23032,270.00,paid,,2023-08-25,Scratch,,,,old ticket TK-230825-001
ADV23014,256.50,paid,,2023-08-26,Lego EV3 Robotics,,,,old ticket TK-230826-001
ADV23015,256.50,paid,,2023-08-26,Lego EV3 Robotics,,,,old ticket TK-230826-002
ADV0045,150.00,paid,,2023-08-29,Lego EV3 Robotics,,,,old ticket TK-230829-001
ADV23018,180.00,paid,,2023-09-01,Lego EV3 Robotics,,,,old ticket TK-230901-001
ADV23011,180.00,paid,,2023-09-01,Lego EV3 Robotics,,,,old ticket TK-230901-002
ADV0055,120.00,paid,cash,2023-09-01,Scratch,,,,old ticket TK-230901-003 | Cash
ADV0057,90.00,paid,,2023-09-02,Scratch,,,,old ticket TK-230902-001
ADV23034,120.00,paid,,2023-09-02,Scratch,,,,old ticket TK-230902-002
ADV23030,90.00,paid,,2023-09-02,Scratch,,,,old ticket TK-230902-003
ADV23040,120.00,paid,,2023-09-03,Scratch,,,,old ticket TK-230903-001
ADV23022,70.00,paid,,2023-09-04,Scratch,,,,old ticket TK-230904-001
ADV23001,180.00,paid,,2023-09-04,Lego EV3 Robotics,,,,old ticket TK-230904-002
ADV23008,180.00,paid,,2023-09-04,Lego EV3 Robotics,,,,old ticket TK-230904-003
ADV23035,120.00,paid,,2023-09-05,Scratch,,,,old ticket TK-230905-001
ADV23013,180.00,paid,,2023-09-06,Lego EV3 Robotics,,,,old ticket TK-230906-001
ADV23003,972.00,paid,,2023-09-09,Lego EV3 Robotics,,,,old ticket TK-230909-001
ADV23027,120.00,paid,,2023-09-10,Scratch,,,,old ticket TK-230910-001
ADV23028,120.00,paid,,2023-09-10,Scratch,,,,old ticket TK-230910-002
ADV23007,160.00,paid,,2023-09-11,Lego EV3 Robotics,,,,old ticket TK-230911-001
ADV23025,120.00,paid,,2023-09-11,Scratch,,,,old ticket TK-230911-002
ADV23026,120.00,paid,,2023-09-11,Scratch,,,,old ticket TK-230911-003
ADV23041,180.00,paid,cash,2023-09-23,Lego EV3 Robotics,,,,old ticket TK-230923-001 | Cash
ADV23023,240.00,paid,,2023-09-24,Scratch,,,,old ticket TK-230924-001
ADV23042,180.00,paid,,2023-09-24,Lego EV3 Robotics,,,,old ticket TK-230924-002
ADV23008,180.00,paid,,2023-09-30,Lego EV3 Robotics,,,,old ticket TK-230930-001
ADV0045,150.00,paid,,2023-09-30,Lego EV3 Robotics,,,,old ticket TK-230930-002
ADV0055,120.00,paid,cash,2023-10-01,Scratch,,,,old ticket TK-231001-001 | Cash
ADV23032,90.00,paid,,2023-10-02,Scratch,,,,old ticket TK-231002-001
ADV23034,120.00,paid,,2023-10-02,Scratch,,,,old ticket TK-231002-002
ADV23024,180.00,paid,,2023-10-02,Lego EV3 Robotics,,,,old ticket TK-231002-003
ADV23024,120.00,paid,,2023-10-02,Scratch,,,,old ticket TK-231002-004
ADV23022,120.00,paid,,2023-10-02,Scratch,,,,old ticket TK-231002-005
ADV23035,120.00,paid,,2023-10-04,Scratch,,,,old ticket TK-231004-001
ADV23050,180.00,paid,,2023-10-06,Lego EV3 Robotics,,,,old ticket TK-231006-001
ADV23050,150.00,paid,,2023-10-06,Scratch,,,,old ticket TK-231006-002
ADV23001,180.00,paid,,2023-10-06,Lego EV3 Robotics,,,,old ticket TK-231006-003
ADV23011,180.00,paid,,2023-10-07,Lego EV3 Robotics,,,,old ticket TK-231007-001
ADV0014,180.00,paid,,2023-10-08,Lego EV3 Robotics,,,,old ticket TK-231008-001
ADV23048,256.50,paid,,2023-10-09,Lego EV3 Robotics,,,,old ticket TK-231009-001
ADV23049,256.50,paid,,2023-10-09,Lego EV3 Robotics,,,,old ticket TK-231009-002
ADV23027,180.00,paid,,2023-10-11,Lego EV3 Robotics,,,,old ticket TK-231011-001
ADV23027,120.00,paid,,2023-10-11,Scratch,,,,old ticket TK-231011-002
ADV23028,180.00,paid,,2023-10-11,Lego EV3 Robotics,,,,old ticket TK-231011-003
ADV23028,120.00,paid,,2023-10-11,Scratch,,,,old ticket TK-231011-004
ADV23019,180.00,paid,,2023-10-12,Lego EV3 Robotics,,,,old ticket TK-231012-001
ADV23020,180.00,paid,,2023-10-12,Lego EV3 Robotics,,,,old ticket TK-231012-002
ADV23005,324.00,paid,,2023-10-13,Lego EV3 Robotics,,,,old ticket TK-231013-001
ADV23004,324.00,paid,,2023-10-13,Lego EV3 Robotics,,,,old ticket TK-231013-002
ADV23006,324.00,paid,,2023-10-13,Lego EV3 Robotics,,,,old ticket TK-231013-003
ADV23007,180.00,paid,,2023-10-14,Lego EV3 Robotics,,,,old ticket TK-231014-001
ADV23014,256.50,paid,,2023-10-14,Lego EV3 Robotics,,,,old ticket TK-231014-002
ADV23015,256.50,paid,,2023-10-14,Lego EV3 Robotics,,,,old ticket TK-231014-003
ADV0057,90.00,paid,,2023-10-14,Scratch,,,,old ticket TK-231014-004
ADV23040,120.00,paid,,2023-10-15,Scratch,,,,old ticket TK-231015-001
ADV23013,180.00,paid,,2023-10-16,Lego EV3 Robotics,,,,old ticket TK-231016-001
ADV23045,150.00,paid,,2023-10-18,Scratch,,,,old ticket TK-231018-001
ADV23037,173.60,paid,,2023-10-19,Scratch,,,,old ticket TK-231019-001
ADV23025,120.00,paid,,2023-10-19,Scratch,,,,old ticket TK-231019-002
ADV23026,120.00,paid,,2023-10-19,Scratch,,,,old ticket TK-231019-003
ADV23023,180.00,paid,,2023-10-21,Lego EV3 Robotics,,,,old ticket TK-231021-001
ADV23023,120.00,paid,,2023-10-21,Scratch,,,,old ticket TK-231021-002
ADV23018,180.00,paid,,2023-10-22,Lego EV3 Robotics,,,,old ticket TK-231022-001
ADV23043,145.50,paid,,2023-10-23,Scratch,,,,old ticket TK-231023-001
ADV23021,540.00,paid,,2023-10-26,Lego EV3 Robotics,,,,old ticket TK-231026-001
ADV0045,150.00,paid,,2023-10-28,Lego EV3 Robotics,,,,old ticket TK-231028-001
ADV23045,150.00,paid,,2023-10-28,Scratch,,,,old ticket TK-231028-002
ADV23016,256.50,paid,,2023-10-29,Lego EV3 Robotics,,,,old ticket TK-231029-001
ADV23017,256.50,paid,,2023-10-29,Lego EV3 Robotics,,,,old ticket TK-231029-002
ADV23050,180.00,paid,,2023-10-30,Lego EV3 Robotics,,,,old ticket TK-231030-001
ADV23050,150.00,paid,,2023-10-30,Scratch,,,,old ticket TK-231030-002
ADV23051,180.00,paid,,2023-10-30,Lego EV3 Robotics,,,,old ticket TK-231030-003
ADV23036,240.00,paid,,2023-10-30,Scratch,,,,old ticket TK-231030-004
ADV23029,360.00,paid,,2023-10-30,Scratch,,,,old ticket TK-231030-005
ADV23021,180.00,paid,,2023-11-01,Lego EV3 Robotics,,,,old ticket TK-231101-001
ADV23001,180.00,paid,,2023-11-01,Lego EV3 Robotics,,,,old ticket TK-231101-002
ADV0055,120.00,paid,cash,2023-11-01,Scratch,,,,old ticket TK-231101-003 | Cash
ADV23030,112.50,paid,,2023-11-02,Scratch,,,,old ticket TK-231102-001
ADV23034,120.00,paid,,2023-11-03,Scratch,,,,old ticket TK-231103-001
ADV23035,120.00,paid,,2023-11-03,Scratch,,,,old ticket TK-231103-002
ADV23008,180.00,paid,,2023-11-04,Lego EV3 Robotics,,,,old ticket TK-231104-001
ADV23041,360.00,paid,,2023-11-04,Lego EV3 Robotics,,,,old ticket TK-231104-002
ADV23025,120.00,paid,,2023-11-05,Scratch,,,,old ticket TK-231105-001
ADV23026,120.00,paid,,2023-11-05,Scratch,,,,old ticket TK-231105-002
ADV23022,120.00,paid,,2023-11-05,Scratch,,,,old ticket TK-231105-003
ADV23007,160.00,paid,,2023-11-11,Lego EV3 Robotics,,,,old ticket TK-231111-001
ADV0056,240.00,paid,,2023-11-13,Lego EV3 Robotics,,,,old ticket TK-231113-001
ADV23024,180.00,paid,,2023-11-14,Lego EV3 Robotics,,,,old ticket TK-231114-001
ADV23024,120.00,paid,,2023-11-14,Scratch,,,,old ticket TK-231114-002
ADV23012,513.00,paid,,2023-11-15,Lego EV3 Robotics,,,,old ticket TK-231115-001
ADV23031,171.80,paid,,2023-11-15,Scratch,,,,old ticket TK-231115-002
ADV23027,180.00,paid,,2023-11-16,Lego EV3 Robotics,,,,old ticket TK-231116-001
ADV23027,120.00,paid,,2023-11-16,Scratch,,,,old ticket TK-231116-002
ADV23028,180.00,paid,,2023-11-16,Lego EV3 Robotics,,,,old ticket TK-231116-003
ADV23028,120.00,paid,,2023-11-16,Scratch,,,,old ticket TK-231116-004
ADV23013,180.00,paid,,2023-11-18,Lego EV3 Robotics,,,,old ticket TK-231118-001
ADV23023,180.00,paid,,2023-11-18,Scratch,,,,old ticket TK-231118-002
ADV23023,120.00,paid,,2023-11-18,Scratch,,,,old ticket TK-231118-003
ADV0055,120.00,paid,cash,2023-11-25,Scratch,,,,old ticket TK-231125-001 | Cash
ADV0045,150.00,paid,,2023-11-29,Lego EV3 Robotics,,,,old ticket TK-231129-001
ADV0056,1200.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-001 | Nov-Adjustment
ADV23007,1280.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-003 | Nov-Adjustment
ADV23008,180.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-004 | Nov-Adjustment
ADV23011,180.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-005 | Nov-Adjustment
ADV23012,513.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-006 | Nov-Adjustment
ADV23016,45.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-007 | Nov-Adjustment
ADV23017,45.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-008 | Nov-Adjustment
ADV23018,360.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-009 | Nov-Adjustment
ADV23019,360.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-010 | Nov-Adjustment
ADV23020,360.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-011 | Nov-Adjustment
ADV23021,720.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-012 | Nov-Adjustment
ADV23023,120.00,paid,,2023-11-30,Lego EV3 Robotics,,,,old ticket TK-231130-013 | Nov-Adjustment
ADV23042,540.00,paid,,2023-12-01,Lego EV3 Robotics,,,,old ticket TK-231201-001
ADV23050,180.00,paid,,2023-12-01,Lego EV3 Robotics,,,,old ticket TK-231201-002
ADV23050,150.00,paid,,2023-12-01,Scratch,,,,old ticket TK-231201-003
ADV23022,120.00,paid,,2023-12-03,Scratch,,,,old ticket TK-231203-001
ADV23001,180.00,paid,,2023-12-04,Lego EV3 Robotics,,,,old ticket TK-231204-002
ADV23035,120.00,paid,,2023-12-04,Scratch,,,,old ticket TK-231204-003
ADV23013,180.00,paid,,2023-12-06,Lego EV3 Robotics,,,,old ticket TK-231206-004
ADV23048,256.50,paid,,2023-12-07,Lego EV3 Robotics,,,,old ticket TK-231207-003
ADV23049,256.50,paid,,2023-12-07,Lego EV3 Robotics,,,,old ticket TK-231207-004
ADV0057,90.00,paid,,2023-12-08,Scratch,,,,old ticket TK-231208-003
ADV23075,180.00,paid,,2023-12-08,Lego EV3 Robotics,,,,old ticket TK-231208-004
ADV23040,90.00,paid,,2023-12-10,Scratch,,,,old ticket TK-231210-001
ADV23024,120.00,paid,,2023-12-11,Scratch,,,,old ticket TK-231211-001
ADV23024,180.00,paid,,2023-12-11,Lego EV3 Robotics,,,,old ticket TK-231211-002
ADV23007,160.00,paid,,2023-12-16,Lego EV3 Robotics,,,,old ticket TK-231216-001
ADV23041,180.00,paid,,2023-12-17,Lego EV3 Robotics,,,,old ticket TK-231217-001
ADV23018,180.00,paid,,2023-12-17,Lego EV3 Robotics,,,,old ticket TK-231217-002
ADV23018,180.00,paid,,2023-12-18,,,,,old ticket TK-231218-001
ADV23083,180.00,paid,,2023-12-18,,,,,old ticket TK-231218-002
ADV23051,178.20,paid,bank_transfer,2023-12-18,Lego EV3 Robotics,,,,old ticket TK-231218-003 | Boost Payment
ADV23037,229.40,paid,,2023-12-21,Scratch,,,,old ticket TK-231221-001 | Stripe Payment
ADV23023,120.00,paid,,2023-12-22,Scratch,,,,old ticket TK-231222-001
ADV23023,180.00,paid,,2023-12-22,Lego EV3 Robotics,,,,old ticket TK-231222-002
ADV23023,180.00,paid,,2023-12-22,,,,,old ticket TK-231222-003
ADV23024,180.00,paid,,2023-12-26,,,,,old ticket TK-231226-001
ADV23080,324.00,paid,,2023-12-26,Scratch,,,,old ticket TK-231226-002
ADV23080,486.00,paid,,2023-12-26,Lego EV3 Robotics,,,,old ticket TK-231226-003
ADV23081,324.00,paid,,2023-12-26,Scratch,,,,old ticket TK-231226-004
ADV23081,486.00,paid,,2023-12-26,Lego EV3 Robotics,,,,old ticket TK-231226-005
ADV23043,232.80,paid,,2023-12-26,Scratch,,,,old ticket TK-231226-006
ADV23084,180.00,paid,,2023-12-28,,,,,old ticket TK-231228-001
ADV0045,150.00,paid,,2023-12-28,Lego EV3 Robotics,,,,old ticket TK-231228-002
ADV23045,150.00,paid,,2023-12-29,Scratch,,,,old ticket TK-231229-001
ADV23034,120.00,paid,,2024-01-01,Scratch,,,,old ticket TK-240101-001
ADV23050,150.00,paid,,2024-01-02,Scratch,,,,old ticket TK-240102-001
ADV23050,180.00,paid,,2024-01-02,Lego EV3 Robotics,,,,old ticket TK-240102-002
ADV23006,324.00,paid,,2024-01-02,Lego EV3 Robotics,,,,old ticket TK-240102-003
ADV23004,324.00,paid,,2024-01-02,Lego EV3 Robotics,,,,old ticket TK-240102-004
ADV23005,324.00,paid,,2024-01-02,Lego EV3 Robotics,,,,old ticket TK-240102-005
ADV0055,150.00,paid,cash,2024-01-02,Scratch,,,,old ticket TK-240102-006 | Cash
ADV23035,120.00,paid,,2024-01-03,Scratch,,,,old ticket TK-240103-001
ADV23001,180.00,paid,,2024-01-03,Lego EV3 Robotics,,,,old ticket TK-240103-002
ADV23030,67.50,paid,,2024-01-03,Scratch,,,,old ticket TK-240103-003
ADV23022,120.00,paid,,2024-01-04,Scratch,,,,old ticket TK-240104-001
ADV23011,180.00,paid,,2024-01-05,Lego EV3 Robotics,,,,old ticket TK-240105-001
ADV23008,180.00,paid,,2024-01-06,Lego EV3 Robotics,,,,old ticket TK-240106-001
ADV23013,360.00,paid,,2024-01-06,Lego EV3 Robotics,,,,old ticket TK-240106-002
ADV23030,67.50,paid,,2024-01-07,Scratch,,,,old ticket TK-240107-001
ADV24001,120.00,paid,,2024-01-08,Scratch,,,,old ticket TK-240108-001
